age;lives
0;100000
1;100000
2;100000
3;100000
4;100000
5;100000
6;100000
7;100000
8;100000
9;100000
10;100000
11;100000
12;100000
13;100000
14;100000
15;100000
16;100000
17;100000
18;100000
19;100000
20;100000
21;99975
22;99949.7
23;99924
24;99897.8
25;99871.1
26;99843.8
27;99815.9
28;99787.2
29;99757.7
30;99727.3
31;99695.8
32;99663.2
33;99629.3
34;99593.8
35;99556.7
36;99517.8
37;99476.7
38;99433.3
39;99387.3
40;99338.3
41;99285.9
42;99229.8
43;99169.4
44;99104.3
45;99033.9
46;98957.6
47;98874.5
48;98783.9
49;98684.9
50;98576.4
51;98457.2
52;98326.2
53;98181.8
54;98022.4
55;97846.2
56;97651.2
57;97435.2
58;97195.6
59;96929.6
60;96634.1
61;96305.8
62;95940.6
63;95534.4
64;95082.5
65;94579.7
66;94020.3
67;93398.1
68;92706.1
69;91936.9
70;91082.4
71;90134
72;89082.1
73;87916.8
74;86627.6
75;85203.5
76;83632.9
77;81904.3
78;80006.2
79;77927.4
80;75657.2
81;73186.3
82;70507.2
83;67614.6
84;64506.5
85;61184.9
86;57656.7
87;53934.7
88;50038.6
89;45995.6
90;41841.1
91;37618.6
92;33379.9
93;29183.8
94;25094.3
95;21178.3
96;17501.8
97;14125.9
98;11102.5
99;8469.7
100;6248.2
101;4438.8
102;3022.6
103;1962.5
104;1207.8
105;699.9
106;379.1
107;190.3
108;87.7
109;36.7
110;13.8
111;4.6
112;1.3
113;0.3
114;0.1
115;0
